'Time and date','EEG Fp1','EEG Fp2','EEG F3','EEG F4','EEG F7','EEG F8','EEG T3','EEG T4','EEG C3','EEG C4','EEG T5','EEG T6','EEG P3','EEG P4','EEG O1','EEG O2','EEG Fz','EEG Cz','EEG Pz','EEG A2-A1','ECG ECG','EDF Annotations'
'[00:00:00.114 01/01/2011]',8.578,6.763,12.381,4.671,11.457,-5.300,14.183,3.500,7.518,-0.651,5.139,9.239,7.422,-1.087,11.674,2.161,5.565,7.316,4.687,-1.565,-0.048,0.000
'[00:00:00.116 01/01/2011]',8.457,6.723,11.816,4.694,10.152,-5.080,13.471,2.825,6.711,-0.598,3.559,7.987,5.754,-3.179,9.118,-0.010,5.575,8.129,2.364,-1.928,-0.050,0.000
'[00:00:00.118 01/01/2011]',7.967,6.408,10.581,4.430,8.747,-4.732,12.466,1.455,5.132,-1.243,1.674,5.903,3.506,-5.866,6.012,-2.933,5.290,8.278,-0.315,-2.343,-0.053,0.000
'[00:00:00.120 01/01/2011]',7.091,5.804,8.713,3.909,7.191,-4.215,10.983,-0.531,2.796,-2.606,-0.371,3.120,0.718,-9.038,2.566,-6.443,4.727,7.478,-3.265,-2.744,-0.054,0.000
'[00:00:00.122 01/01/2011]',5.873,4.936,6.351,3.220,5.428,-3.513,8.965,-2.927,-0.120,-4.553,-2.384,-0.088,-2.444,-12.461,-0.933,-10.281,3.964,5.672,-6.315,-3.075,-0.054,0.000
'[00:00:00.124 01/01/2011]',4.413,3.870,3.721,2.496,3.425,-2.644,6.482,-5.435,-3.305,-6.820,-4.164,-3.373,-5.720,-15.830,-4.169,-14.116,3.132,3.062,-9.243,-3.304,-0.054,0.000
'[00:00:00.126 01/01/2011]',2.847,2.721,1.076,1.866,1.204,-1.695,3.717,-7.739,-6.382,-9.082,-5.541,-6.379,-8.807,-18.819,-6.864,-17.618,2.372,0.048,-11.809,-3.429,-0.053,0.000
'[00:00:00.128 01/01/2011]',1.330,1.624,-1.344,1.426,-1.158,-0.805,0.903,-9.565,-8.985,-11.022,-6.409,-8.816,-11.434,-21.144,-8.827,-20.504,1.798,-2.874,-13.807,-3.477,-0.051,0.000
'[00:00:00.130 01/01/2011]',-0.010,0.705,-3.366,1.214,-3.521,-0.158,-1.745,-10.728,-10.841,-12.395,-6.748,-10.500,-13.390,-22.609,-9.982,-22.568,1.471,-5.242,-15.104,-3.492,-0.050,0.000
'[00:00:00.132 01/01/2011]',-1.097,0.040,-4.892,1.199,-5.699,0.066,-4.069,-11.164,-11.816,-13.072,-6.620,-11.369,-14.580,-23.128,-10.364,-23.712,1.374,-6.749,-15.661,-3.514,-0.049,0.000
'[00:00:00.134 01/01/2011]',-1.914,-0.381,-5.904,1.288,-7.488,-0.275,-5.991,-10.929,-11.933,-13.056,-6.161,-11.474,-15.021,-22.751,-10.095,-23.934,1.433,-7.298,-15.526,-3.571,-0.049,0.000
'[00:00:00.136 01/01/2011]',-2.498,-0.659,-6.433,1.366,-8.684,-1.248,-7.492,-10.180,-11.354,-12.469,-5.535,-10.959,-14.833,-21.629,-9.348,-23.312,1.529,-7.014,-14.829,-3.665,-0.050,0.000
'[00:00:00.138 01/01/2011]',-2.917,-0.959,-6.538,1.309,-9.126,-2.804,-8.579,-9.144,-10.318,-11.518,-4.911,-10.030,-14.187,-19.992,-8.309,-21.981,1.534,-6.180,-13.737,-3.773,-0.051,0.000
'[00:00:00.140 01/01/2011]',-3.243,-1.457,-6.262,1.040,-8.729,-4.787,-9.244,-8.060,-9.079,-10.433,-4.415,-8.918,-13.276,-18.094,-7.164,-20.117,1.355,-5.132,-12.426,-3.858,-0.054,0.000
'[00:00:00.142 01/01/2011]',-3.517,-2.274,-5.636,0.533,-7.520,-6.938,-9.460,-7.139,-7.836,-9.427,-4.105,-7.843,-12.263,-16.168,-6.064,-17.913,0.955,-4.164,-11.046,-3.882,-0.056,0.000
'[00:00:00.144 01/01/2011]',-3.737,-3.420,-4.670,-0.157,-5.649,-8.942,-9.191,-6.518,-6.704,-8.642,-3.979,-6.985,-11.267,-14.384,-5.146,-15.570,0.367,-3.430,-9.704,-3.817,-0.058,0.000
'[00:00:00.146 01/01/2011]',-3.855,-4.780,-3.374,-0.908,-3.366,-10.479,-8.426,-6.234,-5.691,-8.129,-3.972,-6.451,-10.339,-12.823,-4.503,-13.281,-0.298,-2.915,-8.453,-3.655,-0.059,0.000
'[00:00:00.148 01/01/2011]',-3.788,-6.122,-1.766,-1.546,-0.971,-11.277,-7.205,-6.222,-4.727,-7.837,-3.993,-6.264,-9.479,-11.487,-4.191,-11.220,-0.880,-2.449,-7.303,-3.412,-0.060,0.000
'[00:00:00.150 01/01/2011]',-3.442,-7.147,0.123,-1.880,1.250,-11.157,-5.639,-6.346,-3.708,-7.647,-3.954,-6.360,-8.648,-10.323,-4.226,-9.531,-1.192,-1.781,-6.246,-3.118,-0.061,0.000
'[00:00:00.152 01/01/2011]',-2.732,-7.565,2.236,-1.722,3.109,-10.066,-3.886,-6.426,-2.528,-7.397,-3.803,-6.629,-7.808,-9.262,-4.589,-8.317,-1.056,-0.679,-5.272,-2.809,-0.060,0.000
'[00:00:00.154 01/01/2011]',-1.600,-7.142,4.509,-0.941,4.558,-8.060,-2.114,-6.302,-1.127,-6.931,-3.534,-6.931,-6.941,-8.270,-5.234,-7.645,-0.333,0.991,-4.393,-2.514,-0.060,0.000
'[00:00:00.156 01/01/2011]',-0.026,-5.763,6.870,0.535,5.703,-5.300,-0.457,-5.858,0.491,-6.133,-3.191,-7.157,-6.070,-7.350,-6.114,-7.548,1.050,3.197,-3.656,-2.249,-0.060,0.000
'[00:00:00.158 01/01/2011]',1.965,-3.435,9.260,2.687,6.748,-2.004,1.002,-5.048,2.262,-4.942,-2.847,-7.237,-5.260,-6.563,-7.192,-8.037,3.086,5.751,-3.133,-2.012,-0.061,0.000
'[00:00:00.160 01/01/2011]',4.297,-0.289,11.593,5.404,7.900,1.588,2.245,-3.898,4.075,-3.371,-2.580,-7.160,-4.601,-5.988,-8.443,-9.107,5.678,8.354,-2.900,-1.792,-0.061,0.000
'[00:00:00.162 01/01/2011]',6.844,3.440,13.797,8.502,9.283,5.230,3.285,-2.481,5.781,-1.498,-2.453,-6.945,-4.196,-5.706,-9.855,-10.725,8.651,10.685,-3.014,-1.571,-0.063,0.000
'[00:00:00.164 01/01/2011]',9.425,7.444,15.739,11.728,10.856,8.699,4.134,-0.909,7.227,0.543,-2.504,-6.630,-4.131,-5.765,-11.427,-12.839,11.770,12.482,-3.499,-1.342,-0.064,0.000
'[00:00:00.166 01/01/2011]',11.825,11.376,17.267,14.794,12.412,11.797,4.780,0.702,8.255,2.575,-2.747,-6.236,-4.467,-6.169,-13.143,-15.357,14.749,13.606,-4.340,-1.107,-0.065,0.000
'[00:00:00.168 01/01/2011]',13.806,14.890,18.198,17.415,13.632,14.354,5.186,2.231,8.728,4.395,-3.193,-5.763,-5.233,-6.881,-14.977,-18.161,17.303,14.054,-5.488,-0.882,-0.066,0.000
'[00:00:00.170 01/01/2011]',15.155,17.678,18.364,19.341,14.193,16.239,5.322,3.569,8.561,5.805,-3.848,-5.198,-6.416,-7.833,-16.881,-21.089,19.178,13.939,-6.884,-0.692,-0.067,0.000
'[00:00:00.172 01/01/2011]',15.736,19.523,17.689,20.406,13.880,17.365,5.200,4.623,7.732,6.639,-4.737,-4.523,-7.962,-8.947,-18.792,-23.964,20.194,13.439,-8.461,-0.556,-0.067,0.000
'[00:00:00.174 01/01/2011]',15.517,20.331,16.202,20.542,12.672,17.699,4.896,5.330,6.319,6.811,-5.877,-3.741,-9.775,-10.134,-20.630,-26.605,20.283,12.744,-10.162,-0.489,-0.066,0.000
'[00:00:00.176 01/01/2011]',14.592,20.124,14.088,19.813,10.765,17.278,4.559,5.647,4.503,6.321,-7.270,-2.891,-11.719,-11.308,-22.311,-28.846,19.499,12.006,-11.923,-0.489,-0.065,0.000
'[00:00:00.178 01/01/2011]',13.162,19.051,11.660,18.377,8.516,16.189,4.367,5.581,2.550,5.266,-8.875,-2.043,-13.617,-12.388,-23.732,-30.552,18.003,11.315,-13.675,-0.544,-0.062,0.000
'[00:00:00.180 01/01/2011]',11.492,17.341,9.308,16.474,6.355,14.569,4.481,5.163,0.762,3.820,-10.598,-1.293,-15.288,-13.299,-24.795,-31.644,16.040,10.706,-15.321,-0.633,-0.059,0.000
'[00:00:00.182 01/01/2011]',9.851,15.252,7.402,14.368,4.665,12.574,4.989,4.449,-0.592,2.177,-12.295,-0.738,-16.563,-13.985,-25.391,-32.096,13.884,10.155,-16.739,-0.738,-0.056,0.000
'[00:00:00.184 01/01/2011]',8.455,13.037,6.213,12.300,3.700,10.367,5.890,3.499,-1.343,0.505,-13.790,-0.457,-17.329,-14.425,-25.440,-31.936,11.781,9.599,-17.809,-0.843,-0.053,0.000
'[00:00:00.186 01/01/2011]',7.431,10.906,5.845,10.457,3.539,8.100,7.086,2.376,-1.471,-1.096,-14.919,-0.499,-17.548,-14.636,-24.889,-31.252,9.920,8.946,-18.426,-0.938,-0.050,0.000
'[00:00:00.188 01/01/2011]',6.818,9.029,6.218,8.948,4.097,5.919,8.429,1.121,-1.111,-2.599,-15.547,-0.875,-17.265,-14.679,-23.741,-30.175,8.408,8.099,-18.548,-1.024,-0.048,0.000
'[00:00:00.190 01/01/2011]',6.578,7.532,7.116,7.813,5.166,3.959,9.759,-0.236,-0.509,-4.034,-15.617,-1.579,-16.600,-14.652,-22.084,-28.876,7.280,6.964,-18.214,-1.102,-0.046,0.000
'[00:00:00.192 01/01/2011]',6.630,6.496,8.243,7.039,6.482,2.339,10.942,-1.674,0.049,-5.452,-15.152,-2.595,-15.713,-14.664,-20.081,-27.552,6.512,5.491,-17.557,-1.181,-0.046,0.000
'[00:00:00.194 01/01/2011]',6.884,5.966,9.298,6.582,7.784,1.165,11.886,-3.173,0.306,-6.876,-14.261,-3.911,-14.775,-14.826,-17.967,-26.403,6.053,3.698,-16.786,-1.271,-0.046,0.000
'[00:00:00.196 01/01/2011]',7.254,5.941,10.080,6.390,8.854,0.507,12.539,-4.697,0.113,-8.275,-13.111,-5.512,-13.929,-15.207,-16.004,-25.618,5.850,1.684,-16.136,-1.383,-0.047,0.000
'[00:00:00.198 01/01/2011]',7.673,6.347,10.474,6.417,9.556,0.376,12.872,-6.192,-0.556,-9.560,-11.901,-7.368,-13.271,-15.836,-14.448,-25.343,5.852,-0.375,-15.823,-1.532,-0.048,0.000
'[00:00:00.200 01/01/2011]',8.086,7.063,10.482,6.626,9.833,0.720,12.886,-7.584,-1.608,-10.605,-10.827,-9.413,-12.836,-16.684,-13.493,-25.671,6.027,-2.266,-15.984,-1.726,-0.050,0.000
'[00:00:00.202 01/01/2011]',8.447,7.922,10.190,6.983,9.718,1.425,12.602,-8.780,-2.875,-11.294,-10.048,-11.523,-12.621,-17.673,-13.237,-26.610,6.346,-3.781,-16.647,-1.962,-0.052,0.000
'[00:00:00.204 01/01/2011]',8.717,8.755,9.725,7.464,9.318,2.333,12.090,-9.689,-4.168,-11.555,-9.654,-13.524,-12.581,-18.685,-13.683,-28.109,6.790,-4.777,-17.728,-2.225,-0.053,0.000
'[00:00:00.206 01/01/2011]',8.878,9.417,9.227,8.038,8.793,3.286,11.473,-10.227,-5.310,-11.380,-9.656,-15.211,-12.669,-19.593,-14.732,-30.045,7.333,-5.213,-19.049,-2.485,-0.054,0.000
'[00:00:00.208 01/01/2011]',8.933,9.835,8.838,8.688,8.324,4.158,10.924,-10.337,-6.157,-10.834,-9.982,-16.389,-12.819,-20.265,-16.214,-32.266,7.955,-5.152,-20.389,-2.702,-0.054,0.000
'[00:00:00.210 01/01/2011]',8.927,10.011,8.664,9.396,8.077,4.897,10.636,-9.988,-6.599,-10.012,-10.484,-16.907,-12.971,-20.595,-17.917,-34.580,8.644,-4.723,-21.505,-2.830,-0.052,0.000
'[00:00:00.212 01/01/2011]',8.921,10.007,8.802,10.166,8.156,5.530,10.779,-9.183,-6.552,-9.020,-10.967,-16.695,-13.056,-20.501,-19.620,-36.811,9.394,-4.074,-22.189,-2.834,-0.050,0.000
'[00:00:00.214 01/01/2011]',8.984,9.926,9.319,11.008,8.587,6.157,11.442,-7.956,-5.959,-7.937,-11.222,-15.768,-12.998,-19.940,-21.105,-38.739,10.214,-3.320,-22.308,-2.690,-0.047,0.000
'[00:00:00.216 01/01/2011]',9.171,9.866,10.203,11.928,9.297,6.905,12.588,-6.371,-4.805,-6.813,-11.061,-14.222,-12.728,-18.911,-22.193,-40.181,11.110,-2.523,-21.797,-2.394,-0.044,0.000
'[00:00:00.218 01/01/2011]',9.490,9.879,11.404,12.905,10.143,7.880,14.051,-4.530,-3.152,-5.684,-10.372,-12.211,-12.204,-17.466,-22.762,-40.968,12.064,-1.713,-20.702,-1.967,-0.040,0.000
'[00:00:00.220 01/01/2011]',9.892,9.954,12.777,13.879,10.942,9.111,15.554,-2.573,-1.167,-4.597,-9.154,-9.943,-11.433,-15.721,-22.781,-40.995,13.019,-0.899,-19.163,-1.445,-0.036,0.000
'[00:00:00.222 01/01/2011]',10.276,10.018,14.121,14.742,11.520,10.522,16.782,-0.685,0.895,-3.632,-7.519,-7.654,-10.485,-13.849,-22.316,-40.246,13.872,-0.121,-17.414,-0.886,-0.033,0.000
'[00:00:00.224 01/01/2011]',10.514,9.950,15.220,15.340,11.755,11.934,17.458,0.927,2.724,-2.893,-5.685,-5.593,-9.489,-12.064,-21.529,-38.794,14.479,0.550,-15.742,-0.355,-0.030,0.000
'[00:00:00.226 01/01/2011]',10.492,9.630,15.890,15.518,11.598,13.102,17.409,2.065,4.031,-2.483,-3.920,-3.994,-8.597,-10.575,-20.641,-36.821,14.689,1.023,-14.419,0.082,-0.029,0.000
'[00:00:00.228 01/01/2011]',10.136,8.971,16.028,15.167,11.075,13.778,16.615,2.593,4.634,-2.457,-2.476,-3.029,-7.935,-9.544,-19.872,-34.540,14.393,1.246,-13.640,0.371,-0.029,0.000
'[00:00:00.230 01/01/2011]',9.457,7.953,15.652,14.259,10.270,13.792,15.199,2.483,4.519,-2.777,-1.513,-2.776,-7.556,-9.021,-19.362,-32.164,13.559,1.240,-13.456,0.472,-0.032,0.000
